,price,power
0,16.25,180.0
1,17.404,177.0
2,17.41,180.0
3,17.45,180.0
4,17.5,177.0
5,17.517,271.0
6,17.777,180.0
7,17.799,177.0
8,17.96,177.0
9,17.99,180.0
10,17.995,180.0
11,18.02,177.0
12,18.1,177.0
13,18.45,180.0
14,18.473,177.0
15,18.476,180.0
16,18.53,177.0
17,18.53,177.0
18,18.546,177.0
19,18.59,180.0
20,18.69,180.0
21,18.75,180.0
22,18.777,180.0
23,18.8,180.0
24,18.825,180.0
25,18.85,180.0
26,18.946,177.0
27,18.95,180.0
28,18.989,177.0
29,18.99,180.0
30,18.995,177.0
31,18.999,180.0
32,19.0,177.0
33,19.0,180.0
34,19.0,271.0
35,19.054,177.0
36,19.065,271.0
37,19.228,177.0
38,19.25,271.0
39,19.381,180.0
40,19.391,177.0
41,19.398,180.0
42,19.49,177.0
43,19.49,180.0
44,19.49,271.0
45,19.495,180.0
46,19.495,271.0
47,19.5,177.0
48,19.5,180.0
49,19.5,180.0
50,19.517,177.0
51,19.519,177.0
52,19.537,180.0
53,19.562,177.0
54,19.576,177.0
55,19.59,180.0
56,19.636,177.0
57,19.65,271.0
58,19.698,177.0
59,19.746,177.0
60,19.748,177.0
61,19.748,180.0
62,19.777,271.0
63,19.795,180.0
64,19.846,271.0
65,19.87,177.0
66,19.888,180.0
67,19.888,271.0
68,19.89,180.0
69,19.896,177.0
70,19.898,180.0
71,19.951,177.0
72,19.97,271.0
73,19.971,177.0
74,19.977,180.0
75,19.99,271.0
76,19.991,177.0
77,19.995,177.0
78,19.995,177.0
79,19.995,177.0
80,19.995,180.0
81,19.995,180.0
82,19.995,180.0
83,19.999,271.0
84,20.0,177.0
85,20.0,177.0
86,20.0,177.0
87,20.0,271.0
88,20.017,271.0
89,20.047,180.0
90,20.07,180.0
91,20.115,271.0
92,20.117,271.0
93,20.127,271.0
94,20.132,180.0
95,20.141,271.0
96,20.154,271.0
97,20.208,180.0
98,20.223,271.0
99,20.227,271.0
100,20.267,271.0
101,20.313,177.0
102,20.313,271.0
103,20.325,177.0
104,20.406,177.0
105,20.47,270.0
106,20.478,271.0
107,20.481,180.0
108,20.488,180.0
109,20.499,177.0
110,20.5,177.0
111,20.513,271.0
112,20.518,177.0
113,20.556,177.0
114,20.563,271.0
115,20.575,180.0
116,20.577,177.0
117,20.695,271.0
118,20.7,180.0
119,20.75,180.0
120,20.784,177.0
121,20.795,180.0
122,20.795,180.0
123,20.797,180.0
124,20.797,271.0
125,20.823,177.0
126,20.895,177.0
127,20.9,180.0
128,20.9,180.0
129,20.9,180.0
130,20.9,271.0
131,20.9,271.0
132,20.909,271.0
133,20.95,271.0
134,20.952,177.0
135,20.977,180.0
136,20.977,180.0
137,20.977,180.0
138,20.99,177.0
139,20.99,180.0
140,20.995,180.0
141,20.995,180.0
142,20.995,271.0
143,20.998,177.0
144,20.998,177.0
145,20.998,180.0
146,20.998,180.0
147,20.999,180.0
148,20.999,180.0
149,21.0,177.0
150,21.0,177.0
151,21.0,177.0
152,21.0,180.0
153,21.0,180.0
154,21.0,271.0
155,21.0,271.0
156,21.007,271.0
157,21.059,180.0
158,21.099,180.0
159,21.117,180.0
160,21.158,180.0
161,21.164,180.0
162,21.165,180.0
163,21.168,177.0
164,21.175,271.0
165,21.2,177.0
166,21.2,271.0
167,21.202,177.0
168,21.207,271.0
169,21.22,180.0
170,21.232,177.0
171,21.29,180.0
172,21.295,177.0
173,21.3,180.0
174,21.329,177.0
175,21.351,180.0
176,21.367,177.0
177,21.377,180.0
178,21.38,177.0
179,21.383,177.0
180,21.397,180.0
181,21.408,271.0
182,21.417,177.0
183,21.454,271.0
184,21.466,180.0
185,21.471,180.0
186,21.479,177.0
187,21.495,271.0
188,21.497,180.0
189,21.499,177.0
190,21.5,180.0
191,21.5,180.0
192,21.5,271.0
193,21.5,271.0
194,21.514,177.0
195,21.516,271.0
196,21.519,177.0
197,21.579,271.0
198,21.584,180.0
199,21.585,180.0
200,21.595,271.0
201,21.597,177.0
202,21.597,180.0
203,21.597,180.0
204,21.597,180.0
205,21.599,180.0
206,21.6,180.0
207,21.6,180.0
208,21.632,180.0
209,21.649,177.0
210,21.655,180.0
211,21.69,271.0
212,21.697,177.0
213,21.697,180.0
214,21.722,271.0
215,21.725,271.0
216,21.736,271.0
217,21.785,180.0
218,21.804,271.0
219,21.805,271.0
220,21.809,271.0
221,21.823,180.0
222,21.827,177.0
223,21.831,177.0
224,21.856,177.0
225,21.861,180.0
226,21.883,180.0
227,21.888,271.0
228,21.888,271.0
229,21.889,271.0
230,21.89,177.0
231,21.897,180.0
232,21.9,177.0
233,21.9,180.0
234,21.9,180.0
235,21.9,271.0
236,21.9,271.0
237,21.9,271.0
238,21.9,271.0
239,21.903,180.0
240,21.95,177.0
241,21.962,180.0
242,21.962,180.0
243,21.975,180.0
244,21.977,177.0
245,21.98,177.0
246,21.983,177.0
247,21.987,271.0
248,21.988,180.0
249,21.988,271.0
250,21.99,180.0
251,21.99,180.0
252,21.99,180.0
253,21.99,271.0
254,21.991,177.0
255,21.995,177.0
256,21.995,177.0
257,21.995,177.0
258,21.995,180.0
259,21.995,180.0
260,21.995,180.0
261,21.995,180.0
262,21.995,180.0
263,21.995,180.0
264,21.995,180.0
265,21.995,180.0
266,21.995,180.0
267,21.995,180.0
268,21.995,180.0
269,21.995,271.0
270,21.997,180.0
271,21.997,180.0
272,21.997,180.0
273,21.998,177.0
274,21.998,180.0
275,21.998,180.0
276,21.999,180.0
277,21.999,180.0
278,21.999,270.0
279,21.999,271.0
280,22.0,177.0
281,22.0,180.0
282,22.0,180.0
283,22.0,180.0
284,22.0,180.0
285,22.0,180.0
286,22.0,271.0
287,22.013,271.0
288,22.042,271.0
289,22.051,271.0
290,22.084,180.0
291,22.097,180.0
292,22.097,180.0
293,22.111,271.0
294,22.151,180.0
295,22.18,271.0
296,22.19,271.0
297,22.197,180.0
298,22.197,180.0
299,22.197,180.0
300,22.2,180.0
301,22.204,180.0
302,22.209,177.0
303,22.235,271.0
304,22.235,271.0
305,22.241,271.0
306,22.247,271.0
307,22.25,180.0
308,22.25,180.0
309,22.285,180.0
310,22.286,271.0
311,22.297,180.0
312,22.297,180.0
313,22.299,180.0
314,22.3,180.0
315,22.3,180.0
316,22.3,271.0
317,22.307,180.0
318,22.323,271.0
319,22.332,271.0
320,22.335,177.0
321,22.346,177.0
322,22.362,180.0
323,22.375,177.0
324,22.397,180.0
325,22.397,180.0
326,22.397,180.0
327,22.397,180.0
328,22.397,180.0
329,22.397,180.0
330,22.4,180.0
331,22.4,271.0
332,22.423,271.0
333,22.429,180.0
334,22.44,180.0
335,22.44,180.0
336,22.45,271.0
337,22.468,177.0
338,22.485,180.0
339,22.488,180.0
340,22.491,271.0
341,22.494,271.0
342,22.495,177.0
343,22.495,180.0
344,22.495,271.0
345,22.495,271.0
346,22.497,180.0
347,22.497,180.0
348,22.497,180.0
349,22.497,180.0
350,22.497,180.0
351,22.497,180.0
352,22.497,180.0
353,22.5,177.0
354,22.5,177.0
355,22.5,177.0
356,22.5,180.0
357,22.5,180.0
358,22.5,180.0
359,22.5,271.0
360,22.5,271.0
361,22.522,180.0
362,22.523,180.0
363,22.555,180.0
364,22.556,177.0
365,22.556,177.0
366,22.556,177.0
367,22.556,177.0
368,22.556,177.0
369,22.561,180.0
370,22.578,180.0
371,22.597,180.0
372,22.597,180.0
373,22.597,180.0
374,22.597,180.0
375,22.597,180.0
376,22.597,180.0
377,22.597,180.0
378,22.597,180.0
379,22.597,180.0
380,22.597,180.0
381,22.597,180.0
382,22.6,180.0
383,22.604,271.0
384,22.605,271.0
385,22.608,271.0
386,22.64,271.0
387,22.669,271.0
388,22.69,180.0
389,22.691,271.0
390,22.691,271.0
391,22.697,180.0
392,22.697,180.0
393,22.697,180.0
394,22.697,180.0
395,22.697,180.0
396,22.701,271.0
397,22.701,271.0
398,22.718,177.0
399,22.741,177.0
400,22.742,271.0
401,22.747,271.0
402,22.747,271.0
403,22.75,180.0
404,22.754,271.0
405,22.767,180.0
406,22.768,180.0
407,22.775,271.0
408,22.777,271.0
409,22.777,271.0
410,22.777,271.0
411,22.777,271.0
412,22.785,180.0
413,22.788,271.0
414,22.791,177.0
415,22.795,271.0
416,22.797,180.0
417,22.797,180.0
418,22.797,180.0
419,22.797,180.0
420,22.797,180.0
421,22.797,180.0
422,22.797,180.0
423,22.797,180.0
424,22.8,177.0
425,22.8,180.0
426,22.8,271.0
427,22.815,180.0
428,22.832,180.0
429,22.838,180.0
430,22.839,271.0
431,22.855,180.0
432,22.861,177.0
433,22.867,271.0
434,22.869,180.0
435,22.888,177.0
436,22.888,180.0
437,22.891,177.0
438,22.892,271.0
439,22.895,177.0
440,22.896,180.0
441,22.897,180.0
442,22.897,180.0
443,22.897,180.0
444,22.897,180.0
445,22.897,180.0
446,22.897,180.0
447,22.897,180.0
448,22.9,177.0
449,22.9,180.0
450,22.9,180.0
451,22.9,271.0
452,22.9,271.0
453,22.9,271.0
454,22.9,271.0
455,22.9,271.0
456,22.901,271.0
457,22.908,177.0
458,22.911,180.0
459,22.912,180.0
460,22.913,271.0
461,22.92,180.0
462,22.921,271.0
463,22.923,271.0
464,22.93,271.0
465,22.944,271.0
466,22.946,177.0
467,22.969,180.0
468,22.969,271.0
469,22.975,271.0
470,22.977,180.0
471,22.977,180.0
472,22.977,180.0
473,22.977,271.0
474,22.98,177.0
475,22.984,271.0
476,22.985,177.0
477,22.987,177.0
478,22.988,177.0
479,22.988,180.0
480,22.988,271.0
481,22.99,180.0
482,22.99,180.0
483,22.99,180.0
484,22.99,271.0
485,22.991,177.0
486,22.991,180.0
487,22.991,180.0
488,22.991,180.0
489,22.991,271.0
490,22.994,177.0
491,22.994,180.0
492,22.995,177.0
493,22.995,180.0
494,22.995,180.0
495,22.995,180.0
496,22.995,180.0
497,22.995,180.0
498,22.996,271.0
499,22.997,180.0
500,22.997,180.0
501,22.997,180.0
502,22.997,180.0
503,22.997,180.0
504,22.997,180.0
505,22.997,180.0
506,22.997,180.0
507,22.997,180.0
508,22.997,180.0
509,22.997,180.0
510,22.997,180.0
511,22.997,180.0
512,22.997,180.0
513,22.997,180.0
514,22.997,180.0
515,22.997,180.0
516,22.997,180.0
517,22.997,271.0
518,22.997,271.0
519,22.997,271.0
520,22.998,180.0
521,22.998,271.0
522,22.998,271.0
523,22.999,180.0
524,22.999,180.0
525,22.999,180.0
526,22.999,180.0
527,22.999,180.0
528,22.999,271.0
529,23.0,177.0
530,23.0,180.0
531,23.0,180.0
532,23.0,180.0
533,23.0,180.0
534,23.0,180.0
535,23.0,180.0
536,23.0,271.0
537,23.0,271.0
538,23.0,271.0
539,23.054,177.0
540,23.054,271.0
541,23.073,271.0
542,23.093,271.0
543,23.097,180.0
544,23.097,180.0
545,23.097,180.0
546,23.097,180.0
547,23.097,180.0
548,23.097,180.0
549,23.097,180.0
550,23.097,180.0
551,23.097,180.0
552,23.097,180.0
553,23.097,180.0
554,23.097,180.0
555,23.097,180.0
556,23.097,180.0
557,23.097,180.0
558,23.097,180.0
559,23.097,180.0
560,23.097,180.0
561,23.097,180.0
562,23.097,180.0
563,23.097,180.0
564,23.099,180.0
565,23.1,177.0
566,23.131,177.0
567,23.145,271.0
568,23.148,180.0
569,23.148,180.0
570,23.159,180.0
571,23.165,271.0
572,23.197,180.0
573,23.197,180.0
574,23.197,180.0
575,23.197,180.0
576,23.197,180.0
577,23.197,180.0
578,23.197,180.0
579,23.197,180.0
580,23.197,180.0
581,23.197,180.0
582,23.197,180.0
583,23.197,180.0
584,23.197,180.0
585,23.197,180.0
586,23.197,180.0
587,23.197,180.0
588,23.197,180.0
589,23.197,180.0
590,23.197,180.0
591,23.197,180.0
592,23.197,180.0
